,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,q,max_d
0,0.0,1.342,0.0,0.0,0.0,6.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.061,0.0,22.297,3.862,1.572,1.957,0.265,0.299,0.0,0.483,1.518,1.305,8.514,8.696,0.0,1.0,0.0
2,0.0,2.278,0.0,0.0,0.0,0.317,0.0,0.184,0.0,0.0,0.033,0.0,0.0,0.0,0.0,2.0,0.0
3,0.0,0.661,0.0,0.0,2.723,1.14,0.176,0.0,0.0,0.0,0.83,3.215,5.849,0.0,0.0,3.0,0.0
4,0.0,0.732,0.0,4.545,0.0,4.047,0.912,0.527,0.0,1.051,0.686,0.392,3.012,0.0,0.0,4.0,0.0
5,0.023,1.423,1.99,11.549,1.454,0.0,0.275,0.249,1.879,1.08,0.525,0.815,1.167,1.48,0.0,5.0,0.0
6,1.305,1.204,0.0,0.0,1.953,2.821,0.0,0.711,0.0,1.356,0.191,0.288,1.573,0.0,0.0,6.0,0.0
7,0.176,0.145,0.317,0.27,0.095,0.503,9.891,0.0,0.142,0.082,0.017,0.032,0.092,0.0,0.0,7.0,0.0
8,0.148,0.083,0.206,0.228,0.043,0.749,6.989,11.447,0.0,0.072,0.011,0.03,0.138,0.0,0.0,8.0,0.0
9,0.034,1.096,0.0,7.722,1.438,2.52,0.602,0.386,0.623,0.0,1.023,0.514,1.504,0.0,0.0,9.0,0.0
10,0.0,1.594,0.0,1.858,0.395,1.111,0.092,0.029,0.0,0.748,0.0,1.056,2.373,0.0,0.0,10.0,0.0
11,0.0,1.085,0.0,1.33,0.753,1.526,0.365,0.755,1.551,0.725,2.202,0.0,0.556,0.24,0.0,11.0,0.0
12,0.028,1.0,0.0,3.88,1.236,3.323,0.731,1.126,1.357,1.155,0.654,0.438,0.0,1.258,0.0,12.0,0.0
13,0.0,1.589,0.0,2.624,2.925,2.31,0.0,0.0,0.0,0.528,0.0,0.329,1.122,0.0,0.0,13.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
15,0.0,1.3,0.0,0.0,1.037,4.431,0.201,0.0,0.0,1.048,0.136,0.204,0.0,0.0,0.0,0.0,1.0
16,0.596,1.124,12.07,1.922,1.236,1.135,0.285,0.238,0.0,0.459,0.793,0.716,2.222,4.478,0.0,1.0,1.0
17,0.295,1.494,37.26,0.099,0.0,0.23,0.11,0.138,0.0,0.096,0.33,0.137,1.102,0.0,0.0,2.0,1.0
18,0.573,0.371,0.0,23.746,1.203,1.552,0.365,0.0,0.0,0.413,0.682,3.623,2.49,0.0,0.0,3.0,1.0
19,0.393,0.593,0.064,1.184,8.704,2.861,1.237,1.137,0.994,1.069,0.485,0.454,1.858,0.23,0.0,4.0,1.0
20,0.436,1.186,1.371,8.204,0.985,1.426,0.407,0.395,1.315,0.949,0.443,1.027,1.385,1.056,0.0,5.0,1.0
21,0.761,1.026,0.173,0.0,0.854,1.87,1.254,0.578,0.0,1.526,0.614,0.66,0.688,0.0,0.0,6.0,1.0
22,0.361,0.256,0.736,0.38,1.219,0.804,7.012,0.621,0.136,1.044,0.157,0.372,1.007,0.005,0.0,7.0,1.0
23,0.39,0.123,0.264,0.384,1.413,1.266,5.258,7.983,1.658,1.146,0.057,0.423,1.078,0.0,0.0,8.0,1.0
24,0.575,0.764,0.174,4.483,1.317,1.964,0.845,0.849,0.545,2.49,0.75,0.59,1.637,0.0,0.0,9.0,1.0
25,1.177,1.012,0.154,0.952,0.419,0.806,0.116,0.067,0.0,0.572,1.981,1.045,1.609,0.0,0.0,10.0,1.0
26,1.087,0.888,0.15,1.015,0.43,1.506,0.424,0.626,0.872,0.541,1.881,1.157,0.663,0.12,0.0,11.0,1.0
27,0.725,0.897,0.197,2.029,1.251,2.336,0.708,0.991,1.23,1.22,0.578,0.727,2.529,0.315,0.0,12.0,1.0
28,0.0,1.47,0.0,3.116,1.828,1.47,0.02,0.0,0.0,0.303,0.061,0.339,1.066,38.553,0.0,13.0,1.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0
30,0.0,1.23,0.0,0.0,0.692,2.78,0.134,2.016,0.0,0.873,0.361,0.68,1.485,0.0,0.0,0.0,2.0
31,0.533,1.267,9.475,1.439,1.088,0.946,0.342,0.32,0.0,0.515,0.748,0.707,1.359,4.116,0.0,1.0,2.0
32,0.459,1.411,34.812,0.066,0.021,0.224,0.171,0.015,0.0,0.197,0.561,0.175,1.119,0.0,0.0,2.0,2.0
33,0.469,0.286,0.0,16.665,0.468,1.571,0.589,0.291,0.0,0.274,0.899,3.548,1.636,0.0,0.0,3.0,2.0
